name,country_code,company_state_code,region,city,stock_exchange_symbol,stock_symbol,went_public_on, price_usd , price ,price_currency_code, cb_url , ipo_uuid ,uuid
DPtech Technologies,CHN,,23,Shanghai,sse,300768,2019-04-12,,,, https://www.crunchbase.com/organization/dptech-technologies , 6b9f0f31-3b71-422c-a2d9-4ba6184ad0b5 ,650c6017-f884-4941-ba07-d2eedf5ebbcf
Jumia Group,NGA,,5,Lagos,nyse,JMIA,2019-04-12,,,, https://www.crunchbase.com/organization/jumia-group , 39f9558c-6b1e-47ec-a352-897c5f59a435 ,35a24fe1-1b9e-4b17-9338-a80727b2ed83
Network International,ARE,,3,Dubai,lon,NETW,2019-04-11," 2,856,049,847 "," 2,180,000,000 ",GBP, https://www.crunchbase.com/organization/network-international , 0b76277e-ffcd-417c-bfe3-396625cb18de ,3f6f97eb-c43a-af98-7fc6-b2ed84e0ec8c
Adevinta,NOR,,12,Oslo,ose,ADEA,2019-04-10," 6,200,000,000 ",,, https://www.crunchbase.com/organization/adevinta , 4d40a3dd-4b75-4e03-92ae-b81107e9621e ,10e87deb-e36e-44fe-b688-b291c8806bee
PagerDuty,USA,CA,CA,San Francisco,nyse,PD,2019-04-10," 1,766,000,000 ",,, https://www.crunchbase.com/organization/pagerduty , 5b40472d-4ad1-474c-bc07-87fa128cbe01 ,143764d8-9c9b-701f-7350-00b85f6cd2a7
Tufin,USA,MA,MA,Boston,nyse,TUFN,2019-04-10," 453,600,000 ",,, https://www.crunchbase.com/organization/tufin , 45ce2a37-7baf-46c4-8845-803bd59dddc0 ,712edc41-97fc-b782-84a6-6943bd6d3474
Replay Acquisition Corp.,USA,NY,NY,New York,nyse,RPLA.U,2019-04-08,,,, https://www.crunchbase.com/organization/replay-acquisition-corp , 304bf3d0-bf49-4e5e-87f9-9d86a1da21a8 ,416dbfd3-4c10-4718-8c05-17df2cc43f30
Guardion Health Sciences,USA,CA,CA,San Diego,nasdaq,GHSI,2019-04-05," 82,250,000 ",,, https://www.crunchbase.com/organization/guardion-health-sciences , cec37bab-cf44-4939-a73d-c12f904de2ad ,1fb41cc1-6a2a-291d-2f05-03a9c5869354
SunRice,AUS,,2,Sydney,asx,SGLLV,2019-04-05,,,, https://www.crunchbase.com/organization/sunrice , 8586b767-ffbc-4ca5-970e-cb4d20169767 ,a40536db-0edd-42d1-9772-d86f6b807d59
NGM Biopharmaceuticals,USA,CA,CA,South San Francisco,nasdaq,NGM,2019-04-04," 1,038,000,000 ",,, https://www.crunchbase.com/organization/ngm-biopharmaceuticals , 48f5ff1d-e77b-4f72-ba32-5fad67f9df47 ,5dfc069c-4a9e-6ea6-39de-877ac2e25183
