company_name,country_code,state_code,region,funding_rounds,women_led
LÜLA,ZAF,,,4,False
Upgrade Pack,GBR,,H9,2,True
Wrisk,GBR,,H9,5,False
AIDA Technologies,SGP,,,1,True
Airthings,NOR,,12,2,False
Billogram,SWE,,26,7,False
Black Sesame Technologies,USA,CA,CA,2,False
Confluence Pharmaceuticals,USA,IN,IN,2,False
Credy,IND,,19,3,False
Darlinghurst Enterprises,USA,WY,WY,1,True
Dashlane,USA,NY,NY,7,True
FINCAD,CAN,BC,BC,3,False
FlipTix,USA,CA,CA,2,False
Forza Football,SWE,,28,1,True
Gather Technologies,USA,GA,GA,3,False
Hireology,USA,IL,IL,6,False
HiScene,CHN,,23,2,False
HOPR,,,,1,False
Kids Corp,ARG,,7,4,False
LumApps,FRA,,B9,2,False
Mile High Labs,USA,CO,CO,2,False
Moi Corporation,JPN,,40,3,False
Moonlighting,USA,VA,VA,5,False
Path Network,USA,AZ,AZ,3,False
Planet SuperHeroes,IND,,16,2,False
Solid Power,USA,CO,CO,2,False
Territory,USA,VA,VA,5,False
Tripoto,IND,,7,5,False
Affectiva,USA,MA,MA,6,True
Ampere Computing,USA,CA,CA,2,True
Arlene,USA,NY,NY,1,False
Armis Security,USA,CA,CA,4,False
Atheneum,DEU,,16,5,False
Autolus Limited,GBR,,H9,5,False
Back Office.co,USA,FL,FL,2,True
Cityblock Health,USA,NY,NY,3,True
Eduvanz,IND,,16,2,False
Embark Veterinary,USA,MA,MA,4,False
examPAL,,,,1,False
Exoticca,ESP,,56,3,False
Facturedo,MEX,,9,3,False
FenestraPro,IRL,,7,3,True
fintonic,ESP,,29,4,True
Flexa,USA,NY,NY,1,False
ICW,HKG,,,4,False
Intrinsic Therapeutics,USA,MA,MA,11,False
KITRO,CHE,,23,2,True
Lemonade,USA,NY,NY,6,True
Mavenlink,USA,CA,CA,5,True
Medusind Solutions,IND,,16,1,True
Monetizr,USA,CA,CA,5,True
Neopenda,USA,IL,IL,2,True
Parchment,USA,AZ,AZ,7,False
PixelPin,GBR,,H9,8,True
Pony.ai,USA,CA,CA,3,False
Radar,USA,NY,NY,3,True
Rasa,USA,CA,CA,2,True
ReachFive,FRA,,A8,3,False
Rewalk Robotics,DEU,,16,6,True
Shedul.com,GBR,,H9,5,False
Sonde Health,USA,MA,MA,2,False
Southern California Gas Company,USA,CA,CA,1,True
SpaceX,USA,CA,CA,21,True
Stavely Minerals,AUS,,8,2,False
TrackVia,USA,CO,CO,7,False
Traveloka,IDN,,4,5,False
Trint,GBR,,H9,3,True
Triplebyte,USA,CA,CA,4,False
XPO APP,,,,1,False
AirTrunk,AUS,,2,3,False
Alder Biopharmaceuticals,USA,WA,WA,6,False
Aqdot,GBR,,C3,4,True
Artificial Labs,GBR,,H9,3,False
AutoX,USA,CA,CA,3,True
BentoBox,USA,NY,NY,5,True
Blanco Services,NLD,,7,2,True
Bofink,SWE,,26,3,False
BookEventz,IND,,16,3,True
Bump,GBR,,H9,3,False
ByteDance,CHN,,22,3,False
Cardinal Analytx Solutions,USA,CA,CA,2,False
Carousell,SGP,,,10,False
CleverTap,USA,CA,CA,4,True
Craftsvilla,IND,,16,5,True
Cullgen,USA,OH,OH,2,False
DroneBase,USA,CA,CA,5,False
EdiGene,CHN,,22,4,False
EKRUT,,,,2,False
Extend,USA,NY,NY,2,False
Flyreel,USA,CO,CO,3,False
hc1.com,USA,IN,IN,9,True
Inozyme,USA,MA,MA,2,False
KeyMe,USA,NY,NY,10,True
KMC Solutions,PHL,,53,1,False
Limitless Technology,GBR,,H9,3,True
Lookmove,CHE,,23,3,False
MOVO,ESP,,29,1,False
Nanobiotix,FRA,,A8,5,False
Netography,USA,CA,CA,2,False
Noveome Biotherapeutics,USA,PA,PA,3,False
Orreco,USA,MA,MA,3,False
OverActive Media Group,CAN,ON,ON,2,False
PointCheckout,ARE,,3,3,False
Rainbird Technologies,GBR,,I9,8,True
RedSeal,USA,CA,CA,8,True
RedT,IRL,,7,3,False
Sezzle,USA,MN,MN,4,True
Shift,USA,CA,CA,8,False
ShoeKonnect,USA,NY,NY,4,False
ShopBack,SGP,,,4,True
Synapse,CAN,ON,ON,3,False
Toppr,IND,,16,9,False
TOPSHOP TOPMAN,GBR,,H9,2,True
Valant,USA,WA,WA,9,False
Verv,GBR,,H9,8,True
Villoid,NOR,,12,3,True
